scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-09-04T06:47:20+05:30,200,0,200,Reporting Date & Time :04-09-2026(FRIDAY) :: 04:00 PM,04-09-2026,FRIDAY,04:00 PM
2026-09-04T08:10:23+05:30,200,62,138,Reporting Date & Time :04-09-2026(FRIDAY) :: 04:00 PM,04-09-2026,FRIDAY,04:00 PM
2026-09-04T08:50:12+05:30,200,144,56,Reporting Date & Time :04-09-2026(FRIDAY) :: 04:00 PM,04-09-2026,FRIDAY,04:00 PM
2026-09-04T08:55:38+05:30,200,150,50,Reporting Date & Time :04-09-2026(FRIDAY) :: 04:00 PM,04-09-2026,FRIDAY,04:00 PM
2026-09-04T09:43:43+05:30,200,191,9,Reporting Date & Time :04-09-2026(FRIDAY) :: 04:00 PM,04-09-2026,FRIDAY,04:00 PM
