scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-09-15T06:47:39+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T06:49:39+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T06:51:40+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T06:53:40+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T06:55:41+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T06:57:41+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T06:59:41+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T07:01:42+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T07:03:42+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T07:05:42+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T07:07:43+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T07:09:43+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
2026-09-15T07:11:43+05:30,200,0,200,Reporting Date & Time :15-09-2026(TUESDAY) :: 04:00 PM,15-09-2026,TUESDAY,04:00 PM
