scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-08-30T07:16:10+05:30,200,0,200,Reporting Date & Time :30-08-2026(SUNDAY) :: 04:00 PM,30-08-2026,SUNDAY,04:00 PM
2026-08-30T08:02:23+05:30,200,51,149,Reporting Date & Time :30-08-2026(SUNDAY) :: 04:00 PM,30-08-2026,SUNDAY,04:00 PM
2026-08-30T10:00:38+05:30,200,153,47,Reporting Date & Time :30-08-2026(SUNDAY) :: 04:00 PM,30-08-2026,SUNDAY,04:00 PM
2026-08-30T11:05:09+05:30,200,200,0,Reporting Date & Time :30-08-2026(SUNDAY) :: 04:00 PM,30-08-2026,SUNDAY,04:00 PM
