scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-09-03T07:49:34+05:30,200,24,176,Reporting Date & Time :03-09-2026(THURSDAY) :: 04:00 PM,03-09-2026,THURSDAY,04:00 PM
2026-09-03T08:30:25+05:30,200,90,110,Reporting Date & Time :03-09-2026(THURSDAY) :: 04:00 PM,03-09-2026,THURSDAY,04:00 PM
2026-09-03T08:55:46+05:30,200,123,77,Reporting Date & Time :03-09-2026(THURSDAY) :: 04:00 PM,03-09-2026,THURSDAY,04:00 PM
