scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-09-20T09:18:41+05:30,200,0,200,Reporting Date & Time :20-09-2026(SUNDAY) :: 04:00 PM,20-09-2026,SUNDAY,04:00 PM
2026-09-20T12:14:33+05:30,200,0,200,Reporting Date & Time :20-09-2026(SUNDAY) :: 04:00 PM,20-09-2026,SUNDAY,04:00 PM
2026-09-20T14:13:52+05:30,200,0,200,Reporting Date & Time :20-09-2026(SUNDAY) :: 04:00 PM,20-09-2026,SUNDAY,04:00 PM
2026-09-20T14:39:43+05:30,200,200,0,Reporting Date & Time :20-09-2026(SUNDAY) :: 04:00 PM,20-09-2026,SUNDAY,04:00 PM
