scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-08-03T06:40:03+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T06:42:03+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T06:44:03+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T06:46:03+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T06:48:03+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T06:50:02+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T06:52:02+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T06:54:02+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T07:00:38+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T07:02:39+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T07:04:41+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
2026-08-03T07:06:42+05:30,200,0,200,Reporting Date & Time :03-08-2026(MONDAY) :: 04:00 PM,03-08-2026,MONDAY,04:00 PM
