scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-07-22T07:25:35+05:30,200,0,200,Reporting Date & Time :22-07-2026(WEDNESDAY) :: 04:00 PM,22-07-2026,WEDNESDAY,04:00 PM
2026-07-22T07:26:16+05:30,200,0,200,Reporting Date & Time :22-07-2026(WEDNESDAY) :: 04:00 PM,22-07-2026,WEDNESDAY,04:00 PM
2026-07-22T07:30:21+05:30,200,2,198,Reporting Date & Time :22-07-2026(WEDNESDAY) :: 04:00 PM,22-07-2026,WEDNESDAY,04:00 PM
2026-07-22T07:41:46+05:30,200,21,179,Reporting Date & Time :22-07-2026(WEDNESDAY) :: 04:00 PM,22-07-2026,WEDNESDAY,04:00 PM
2026-07-22T07:57:32+05:30,200,50,150,Reporting Date & Time :22-07-2026(WEDNESDAY) :: 04:00 PM,22-07-2026,WEDNESDAY,04:00 PM
2026-07-22T07:59:18+05:30,200,57,143,Reporting Date & Time :22-07-2026(WEDNESDAY) :: 04:00 PM,22-07-2026,WEDNESDAY,04:00 PM
2026-07-22T08:01:20+05:30,200,59,141,Reporting Date & Time :22-07-2026(WEDNESDAY) :: 04:00 PM,22-07-2026,WEDNESDAY,04:00 PM
2026-07-22T08:03:21+05:30,200,61,139,Reporting Date & Time :22-07-2026(WEDNESDAY) :: 04:00 PM,22-07-2026,WEDNESDAY,04:00 PM
2026-07-22T08:05:22+05:30,200,68,132,Reporting Date & Time :22-07-2026(WEDNESDAY) :: 04:00 PM,22-07-2026,WEDNESDAY,04:00 PM
