scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-09-05T07:30:31+05:30,200,0,200,Reporting Date & Time :05-09-2026(SATURDAY) :: 04:00 PM,05-09-2026,SATURDAY,04:00 PM
2026-09-05T07:32:32+05:30,200,0,200,Reporting Date & Time :05-09-2026(SATURDAY) :: 04:00 PM,05-09-2026,SATURDAY,04:00 PM
2026-09-05T07:34:32+05:30,200,0,200,Reporting Date & Time :05-09-2026(SATURDAY) :: 04:00 PM,05-09-2026,SATURDAY,04:00 PM
2026-09-05T07:36:33+05:30,200,0,200,Reporting Date & Time :05-09-2026(SATURDAY) :: 04:00 PM,05-09-2026,SATURDAY,04:00 PM
2026-09-05T07:38:34+05:30,200,0,200,Reporting Date & Time :05-09-2026(SATURDAY) :: 04:00 PM,05-09-2026,SATURDAY,04:00 PM
2026-09-05T07:40:34+05:30,200,0,200,Reporting Date & Time :05-09-2026(SATURDAY) :: 04:00 PM,05-09-2026,SATURDAY,04:00 PM
2026-09-05T07:42:34+05:30,200,0,200,Reporting Date & Time :05-09-2026(SATURDAY) :: 04:00 PM,05-09-2026,SATURDAY,04:00 PM
2026-09-05T08:18:15+05:30,200,44,156,Reporting Date & Time :05-09-2026(SATURDAY) :: 04:00 PM,05-09-2026,SATURDAY,04:00 PM
